,academic_year,inst_name,city,state,zipcode,sector
52433,2003,A T Still University of Health Sciences,Kirksville,MO,63501,2
13316,2003,ACT College,Arlington,VA,22209-229,6
62677,2003,AIB College of Business,Des Moines,IA,50321-179,5
17225,2003,ASA Institute of Business and Computer Technology,Brooklyn,NY,11201,6
32753,2003,ATI Technical Training Center,Dallas,TX,75235,9
58903,2003,Aaron's Academy of Beauty,Waldorf,MD,20602,9
32865,2003,Abilene Christian University,Abilene,TX,79699,2
38937,2003,Abington Memorial Hospital Dixon School of Nursing,Willow Grove,PA,19090-128,5
68094,2003,Abraham Baldwin Agricultural College,Tifton,GA,31793-260,4
12393,2003,Academia Serrant Inc,Ponce,PR,00717-156,9
54667,2003,Academy College,Minneapolis,MN,55420-155,3
76896,2003,Academy of Art University,San Francisco,CA,94105,3
27023,2003,Academy of Careers and Technology,Beckley,WV,25801,7
76870,2003,Academy of Chinese Culture and Health Sciences,Oakland,CA,94612,2
51542,2003,Academy of Cosmetology Inc,Bozeman,MT,59715-354,6
16307,2003,Academy of Cosmetology,Charleston,SC,29418-560,9
19538,2003,Academy of Hair Design Four,Pearl,MS,39208,6
39707,2003,Academy of Hair Design Inc,Salem,OR,97301,6
53441,2003,Academy of Hair Design One,Grenada,MS,38901,6
21055,2003,Academy of Hair Design Three,Jackson,MS,39204,6
9405,2003,Academy of Hair Design,Beaumont,TX,77701-465,9
50729,2003,Academy of Hair Design,Las Vegas,NV,89102,6
9418,2003,Academy of Hair Design,Lufkin,TX,75904,9
28348,2003,Academy of Hair Design,Wenatchee,WA,98801,6
20635,2003,Academy of Hair Technology,Greenville,SC,29615-236,9
68942,2003,Academy of Healing Arts Massage & Facial Skin Care,Lake Worth,FL,33463-211,9
38885,2003,Academy of Vocal Arts,Philadelphia,PA,19103-668,2
19195,2003,Acupuncture and Integrative Medicine College-Berkeley,Berkeley,CA,94704,2
72097,2003,Adams State College,Alamosa,CO,81102,1
48679,2003,Adelphi University,Garden City,NY,11530-070,2
13118,2003,Adirondack Beauty School,Glens Falls,NY,12801-000,9
48666,2003,Adirondack Community College,Queensbury,NY,12804,4
66331,2003,Adler School of Professional Psychology,Chicago,IL,60601,2
56116,2003,Adrian College,Adrian,MI,49221-257,2
50037,2003,Adult & Continuing Education-BCTS,Hackensack,NJ,07601-663,7
18683,2003,Adult Center for Education,Zanesville,OH,43701,7
26875,2003,Advanced Institute of Hair Design,Greenfield,WI,53220,6
86159,2003,Advanced Technical Centers,Miami,FL,33166,8
29695,2003,Advanced Technology Institute,Virginia Beach,VA,23462,6
58878,2003,Aesthetics Institute of Cosmetology,Gaithersburg,MD,20877,9
68081,2003,Agnes Scott College,Decatur,GA,30030-379,2
35515,2003,Aiken Technical College,Graniteville,SC,29829,4
13260,2003,Ailano School of Cosmetology,Brockton,MA,02301-573,9
72084,2003,Aims Community College,Greeley,CO,80632,4
42867,2003,Akron School of Practical Nursing,Akron,OH,44311-169,7
79331,2003,Alabama A & M University,Normal,AL,35762,1
81745,2003,Alabama Southern Community College,Monroeville,AL,36460,4
79279,2003,Alabama State University,Montgomery,AL,36101-027,1
43385,2003,Alamance Community College,Graham,NC,27253-800,4
76837,2003,Alameda Beauty College,Alameda,CA,94501,9
78604,2003,Alaska Pacific University,Anchorage,AK,99508,2
14004,2003,Albany BOCES-Adult Practical Nursing Program,Albany,NY,12205,7
48623,2003,Albany Law School,Albany,NY,12208,2
48610,2003,Albany Medical College,Albany,NY,12208,2
68015,2003,Albany State University,Albany,GA,31705,1
68041,2003,Albany Technical College,Albany,GA,31701,4
71206,2003,Albertus Magnus College,New Haven,CT,06511-118,2
56103,2003,Albion College,Albion,MI,49224,2
38869,2003,Albright College,Reading,PA,19612-523,2
53594,2003,Alcorn State University,Alcorn State,MS,39096-750,1
27411,2003,Alderson Broaddus College,Philippi,WV,26416-203,2
