NAME OF DATA ELEMENT,DATA TYPE,VARIABLE NAME,VALUE,LABEL,SOURCE,NOTES
Unit ID for institution,integer,UNITID,,,IPEDS,Shown/used on consumer website.
6-digit OPE ID for institution,integer,OPEID6,,,IPEDS,Shown/used on consumer website.
Institution name,autocomplete,INSTNM,,,IPEDS,Shown/used on consumer website.
City,autocomplete,CITY,,,IPEDS,Shown/used on consumer website.
State postcode,string,STABBR,,,IPEDS,Shown/used on consumer website.
ZIP code,string,ZIP,,,IPEDS,
Flag for main campus,integer,MAIN,0,Not main campus,IPEDS,
,,MAIN,1,Main campus,,
Predominant undergraduate degree awarded,integer,PREDDEG,0,Not classified,IPEDS,Shown/used on consumer website.
,,PREDDEG,1,Predominantly certificate-degree granting,,
,,PREDDEG,2,Predominantly associate's-degree granting,,
,,PREDDEG,3,Predominantly bachelor's-degree granting,,
,,PREDDEG,4,Entirely graduate-degree granting,,
Highest degree awarded,integer,HIGHDEG,0,Non-degree-granting,IPEDS,Shown/used on consumer website.
,,HIGHDEG,1,Certificate degree,,
,,HIGHDEG,2,Associate degree,,
,,HIGHDEG,3,Bachelor's degree,,
,,HIGHDEG,4,Graduate degree,,
Control of institution,integer,CONTROL,1,Public,IPEDS,Shown/used on consumer website.
,,CONTROL,2,Private nonprofit,,
,,CONTROL,3,Private for-profit,,
FIPS code for state,integer,ST_FIPS,1,Alabama,IPEDS,
,,ST_FIPS,2,Alaska,,
,,ST_FIPS,4,Arizona,,
,,ST_FIPS,5,Arkansas,,
,,ST_FIPS,6,California,,
,,ST_FIPS,8,Colorado,,
,,ST_FIPS,9,Connecticut,,
,,ST_FIPS,10,Delaware,,
,,ST_FIPS,11,District of Columbia,,
,,ST_FIPS,12,Florida,,
,,ST_FIPS,13,Georgia,,
,,ST_FIPS,15,Hawaii,,
,,ST_FIPS,16,Idaho,,
,,ST_FIPS,17,Illinois,,
,,ST_FIPS,18,Indiana,,
,,ST_FIPS,19,Iowa,,
,,ST_FIPS,20,Kansas,,
,,ST_FIPS,21,Kentucky,,
,,ST_FIPS,22,Louisiana,,
,,ST_FIPS,23,Maine,,
,,ST_FIPS,24,Maryland,,
,,ST_FIPS,25,Massachusetts,,
,,ST_FIPS,26,Michigan,,
,,ST_FIPS,27,Minnesota,,
,,ST_FIPS,28,Mississippi,,
,,ST_FIPS,29,Missouri,,
,,ST_FIPS,30,Montana,,
,,ST_FIPS,31,Nebraska,,
,,ST_FIPS,32,Nevada,,
,,ST_FIPS,33,New Hampshire,,
,,ST_FIPS,34,New Jersey,,
,,ST_FIPS,35,New Mexico,,
,,ST_FIPS,36,New York,,
,,ST_FIPS,37,North Carolina,,
,,ST_FIPS,38,North Dakota,,
,,ST_FIPS,39,Ohio,,
,,ST_FIPS,40,Oklahoma,,
,,ST_FIPS,41,Oregon,,
,,ST_FIPS,42,Pennsylvania,,
,,ST_FIPS,44,Rhode Island,,
,,ST_FIPS,45,South Carolina,,
,,ST_FIPS,46,South Dakota,,
,,ST_FIPS,47,Tennessee,,
,,ST_FIPS,48,Texas,,
,,ST_FIPS,49,Utah,,
,,ST_FIPS,50,Vermont,,
,,ST_FIPS,51,Virginia,,
,,ST_FIPS,53,Washington,,
,,ST_FIPS,54,West Virginia,,
,,ST_FIPS,55,Wisconsin,,
,,ST_FIPS,56,Wyoming,,
,,ST_FIPS,60,American Samoa,,
,,ST_FIPS,64,Federated States of Micronesia,,
,,ST_FIPS,66,Guam,,
,,ST_FIPS,69,Northern Mariana Islands,,
,,ST_FIPS,70,Palau,,
,,ST_FIPS,72,Puerto Rico,,
,,ST_FIPS,78,Virgin Islands,,
Admission rate,float,ADM_RATE,,,IPEDS,
75th percentile of SAT scores at the institution (critical reading),float,SATVR75,,,IPEDS,Shown/used on consumer website.
75th percentile of SAT scores at the institution (math),float,SATMT75,,,IPEDS,Shown/used on consumer website.
75th percentile of SAT scores at the institution (writing),float,SATWR75,,,IPEDS,Shown/used on consumer website.
"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences.",float,PCIP01,,"Agriculture, Agriculture Operations, and Related Sciences",IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Natural Resources And Conservation.,float,PCIP03,,Natural Resources and Conservation,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Architecture And Related Services.,float,PCIP04,,Architecture and Related Services,IPEDS,Shown/used on consumer website.
"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies.",float,PCIP05,,"Area, Ethnic, Cultural, Gender, and Group Studies",IPEDS,Shown/used on consumer website.
"Percentage of degrees awarded in Communication, Journalism, And Related Programs.",float,PCIP09,,"Communication, Journalism, and Related Programs",IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.,float,PCIP10,,Communications Technologies/Technicians and Support Services,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Computer And Information Sciences And Support Services.,float,PCIP11,,Computer and Information Sciences and Support Services,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Personal And Culinary Services.,float,PCIP12,,Personal and Culinary Services,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Education.,float,PCIP13,,Education,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Engineering.,float,PCIP14,,Engineering,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.,float,PCIP15,,Engineering Technologies and Engineering-Related Fields,IPEDS,Shown/used on consumer website.
"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics.",float,PCIP16,,"Foreign Languages, Literatures, and Linguistics",IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.,float,PCIP19,,Family and Consumer Sciences/Human Sciences,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Legal Professions And Studies.,float,PCIP22,,Legal Professions and Studies,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in English Language And Literature/Letters.,float,PCIP23,,English Language and Literature/Letters,IPEDS,Shown/used on consumer website.
"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities.",float,PCIP24,,"Liberal Arts and Sciences, General Studies and Humanities",IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Library Science.,float,PCIP25,,Library Science,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Biological And Biomedical Sciences.,float,PCIP26,,Biological and Biomedical Sciences,IPEDS,Shown/used on consumer website.
