State,Mean Critical reading score (1995-96),Mean Mathematics score (1995-96),Mean Critical reading score (2000-01),Mean Mathematics score (2000-01),Mean Critical reading score (2005-06),Mean Mathematics score (2005-06),Mean Writing score (2005-06),Mean Critical reading score (2010-11),Mean Mathematics score (2010-11),Mean Writing score (2010-11),Mean Critical reading score (2013-14),Mean Mathematics score (2013-14),Mean Writing score (2013-14),Mean Critical reading score (2014-15),Mean Mathematics score (2014-15),Mean Writing score (2014-15),Percent taking SAT (2013-14) \1\ ,Percent taking SAT (2014-15) \1\ 
United States (Overall),505,508,506,514,503,518,497,497,514,489,497,513,487,495,511,484,48,49
Alabama,565,558,559,554,565,561,565,546,541,536,547,538,532,545,538,533,7,6
Alaska,521,513,514,510,517,517,493,515,511,487,507,503,475,509,503,482,54,52
Arizona,525,521,523,525,521,528,507,517,523,499,522,525,500,523,527,502,36,34
Arkansas,566,550,562,550,574,568,567,568,570,554,573,571,554,568,569,551,4,4
California,495,511,498,517,501,518,501,499,515,499,498,510,496,495,506,491,60,60
Colorado,536,538,539,542,558,564,548,570,573,556,582,586,567,582,587,567,14,12
Connecticut,507,504,509,510,512,516,511,509,513,513,507,510,508,504,506,504,88,89
Delaware\2\ ,508,495,501,499,495,500,484,489,490,476,456,459,444,462,461,445,100,100
District of Columbia\2\,489,473,482,474,487,472,482,469,457,459,440,438,431,441,440,432,100,100
Florida,498,496,498,499,496,497,480,487,489,471,491,485,472,486,480,468,72,74
Georgia,484,477,491,489,494,496,487,485,487,473,488,485,472,490,485,475,77,77
Hawaii,485,510,486,515,482,509,472,479,500,469,484,504,472,487,508,477,63,61
Idaho\2\,543,536,543,542,543,545,525,542,539,517,458,456,450,467,463,442,100,100
Illinois,564,575,576,589,591,609,586,599,617,591,599,616,587,599,616,587,5,4
Indiana,494,494,499,501,498,509,486,493,501,475,497,500,477,496,499,478,71,71
Iowa,590,600,593,603,602,613,591,596,606,575,605,611,578,589,600,566,3,3
Kansas,579,571,577,580,582,590,566,580,591,563,591,596,566,588,592,568,5,5
Kentucky,549,544,550,550,562,562,555,576,572,563,589,585,572,588,587,574,5,4
Louisiana,559,550,564,562,570,571,571,555,550,546,561,556,550,563,559,553,5,5
Maine\3\,504,498,506,500,501,501,491,469,469,453,467,471,449,468,473,451,96,96
Maryland,507,504,508,510,503,509,499,499,502,491,492,495,481,491,493,478,79,79
Massachusetts,507,504,511,515,513,524,510,513,527,509,516,531,509,516,529,507,84,86
Michigan,557,565,561,572,568,583,555,583,604,573,593,610,581,594,609,585,4,4
Minnesota,582,593,580,589,591,600,574,593,608,577,598,610,578,595,607,576,6,5
Mississippi,569,557,566,551,556,541,562,564,543,553,583,566,565,580,563,570,3,3
Missouri,570,569,577,577,587,591,582,592,593,579,595,597,579,596,599,582,4,4
Montana,546,547,539,539,538,545,524,539,537,516,555,552,530,561,556,538,18,15
Nebraska,567,568,562,568,576,583,566,585,591,569,589,587,569,589,590,576,4,4
Nevada,508,507,509,515,498,508,481,494,496,470,495,494,469,494,494,470,54,50
New Hampshire,520,514,520,516,520,524,509,523,525,511,524,530,512,525,530,511,70,70
New Jersey,498,505,499,513,496,515,496,495,516,497,501,523,502,500,521,499,79,81
New Mexico,554,548,551,542,557,549,543,548,541,529,548,543,526,551,544,528,12,12
New York,497,499,495,505,493,510,483,485,499,476,488,502,478,489,502,478,76,75
North Carolina,490,486,493,499,495,513,485,493,508,474,499,507,477,498,504,476,64,63
North Dakota,596,599,592,599,610,617,588,586,612,561,612,620,584,597,608,586,2,2
Ohio,536,535,534,539,535,544,521,539,545,522,555,562,535,557,563,537,15,14
Oklahoma,566,557,567,561,576,574,563,571,565,547,576,571,550,576,569,548,5,4
Oregon,523,521,526,526,523,529,503,520,521,499,523,522,499,523,521,502,48,47
Pennsylvania,498,492,500,499,493,500,483,493,501,479,497,504,480,499,504,482,71,71
Rhode Island,501,491,501,499,495,502,490,495,493,489,497,496,487,494,494,484,73,77
South Carolina,480,474,486,488,487,498,480,482,490,464,488,490,465,488,487,467,65,65
South Dakota,574,566,577,582,590,604,578,584,591,562,604,609,579,592,597,564,3,3
Tennessee,563,552,562,553,573,569,572,575,568,567,578,570,566,581,574,568,8,7
Texas,495,500,493,499,491,506,487,479,502,465,476,495,461,470,486,454,62,64
Utah,583,575,575,570,560,557,550,563,559,545,571,568,551,579,575,554,5,5
Vermont,506,500,511,506,513,519,502,515,518,505,522,525,507,523,524,507,63,61
Virginia,507,496,510,501,512,513,500,512,509,495,518,515,497,518,516,499,73,72
Washington,519,519,527,527,527,532,511,523,529,508,510,518,491,502,510,484,63,66
West Virginia,526,506,527,512,519,510,515,514,501,497,517,505,500,509,497,495,15,15
Wisconsin,577,586,584,596,588,600,577,590,602,575,596,608,578,591,605,575,4,4
Wyoming,544,544,547,545,548,555,537,572,569,551,590,599,573,589,586,562,3,3
\1\Members of the graduating class who had taken the SAT as a percentage of the total number of high school graduates. State percentages were calculated by the College Entrance Examination Board based on the number of high school graduates in each state as projected by the Western Interstate Commission for Higher Education (WICHE). The total percentage for the United States was calculated by the National Center for Education Statistics (NCES) based on NCES projections of the total number of U.S. high school graduates.,,,,,,,,,,,,,,,,,,
"\2\The SAT is administered to all public high school juniors in Delaware (as of spring 2011), the District of Columbia (as of spring 2013), and Idaho (as of spring 2012).",,,,,,,,,,,,,,,,,,
"\3\Beginning with the spring SAT administration in 2006, all Maine high school juniors, including all students in their third year of high school, are required to take the SAT.",,,,,,,,,,,,,,,,,,
"NOTE: Data for 2005-06 and earlier years are for seniors who took the SAT any time during their high school years through March of their senior year. Data for 2010-11 onwards are for seniors who took the SAT any time during their high school years through June of their senior year. If a student took the SAT more than once, the most recent score on each section was used. Possible scores on each section of the SAT range from 200 to 800. Prior to 2006, the critical reading section was known as the verbal section. The writing section was introduced in March 2005. The SAT was formerly known as the Scholastic Assessment Test or the Scholastic Aptitude Test.",,,,,,,,,,,,,,,,,,
"SOURCE: College Entrance Examination Board, College-Bound Seniors Tables and Related Items",,,,,,,,,,,,,,,,,,
